date,close,high,low,open
2020-05-01 13:30:00+00:00,23.08,23.55,23.08,23.55
2020-05-01 13:40:00+00:00,23.23,23.23,23.08,23.08
2020-05-01 13:50:00+00:00,23.21,23.21,23.21,23.21
2020-05-01 14:00:00+00:00,23.675,23.87,23.21,23.21
2020-05-01 14:10:00+00:00,23.8,23.8,23.675,23.675
2020-05-01 14:20:00+00:00,23.52,23.8,23.52,23.8
2020-05-01 14:30:00+00:00,23.495,23.52,23.495,23.52
2020-05-01 14:40:00+00:00,23.59,23.71,23.495,23.495
2020-05-01 14:50:00+00:00,23.44,23.59,23.44,23.59
2020-05-01 15:00:00+00:00,23.23,23.39,23.18,23.39
2020-05-01 15:10:00+00:00,23.29,23.29,23.26,23.26
2020-05-01 15:20:00+00:00,23.4,23.4,23.29,23.29
2020-05-01 15:30:00+00:00,23.26,23.27,23.1,23.21
2020-05-01 15:40:00+00:00,23.295,23.3,23.225,23.26
2020-05-01 15:50:00+00:00,23.42,23.42,23.265,23.31
2020-05-01 16:00:00+00:00,23.38,23.42,23.38,23.42
2020-05-01 16:10:00+00:00,23.38,23.38,23.38,23.38
2020-05-01 16:20:00+00:00,23.62,23.62,23.38,23.38
2020-05-01 16:30:00+00:00,23.6,23.62,23.6,23.62
2020-05-01 16:40:00+00:00,23.14,23.6,23.14,23.6
2020-05-01 16:50:00+00:00,23.25,23.295,23.14,23.14
2020-05-01 17:00:00+00:00,23.35,23.35,23.25,23.25
2020-05-01 17:10:00+00:00,23.38,23.38,23.35,23.35
2020-05-01 17:20:00+00:00,23.38,23.38,23.38,23.38
2020-05-01 17:30:00+00:00,23.525,23.525,23.38,23.38
2020-05-01 17:40:00+00:00,23.44,23.525,23.4,23.525
2020-05-01 17:50:00+00:00,23.56,23.56,23.44,23.44
2020-05-01 18:00:00+00:00,23.48,23.56,23.48,23.56
2020-05-01 18:10:00+00:00,23.76,23.76,23.7,23.7
2020-05-01 18:20:00+00:00,23.83,23.83,23.76,23.76
2020-05-01 18:30:00+00:00,23.8,23.8,23.8,23.8
