date,close,high,low,open
2020-05-01 13:30:00+00:00,4.66,4.66,4.405,4.42
2020-05-01 13:40:00+00:00,4.58,4.66,4.51,4.66
2020-05-01 13:50:00+00:00,4.34,4.545,4.34,4.545
2020-05-01 14:00:00+00:00,4.45,4.47,4.35,4.355
2020-05-01 14:10:00+00:00,4.39,4.45,4.39,4.43
2020-05-01 14:20:00+00:00,4.355,4.395,4.355,4.38
2020-05-01 14:30:00+00:00,4.485,4.495,4.36,4.36
2020-05-01 14:40:00+00:00,4.49,4.495,4.465,4.485
2020-05-01 14:50:00+00:00,4.53,4.57,4.475,4.495
2020-05-01 15:00:00+00:00,4.42,4.55,4.4,4.535
2020-05-01 15:10:00+00:00,4.47,4.47,4.435,4.435
2020-05-01 15:20:00+00:00,4.42,4.47,4.4,4.47
2020-05-01 15:30:00+00:00,4.4,4.43,4.4,4.42
2020-05-01 15:40:00+00:00,4.37,4.4,4.365,4.4
2020-05-01 15:50:00+00:00,4.355,4.38,4.355,4.375
2020-05-01 16:00:00+00:00,4.34,4.36,4.3,4.355
2020-05-01 16:10:00+00:00,4.34,4.38,4.33,4.34
2020-05-01 16:20:00+00:00,4.41,4.41,4.37,4.37
2020-05-01 16:30:00+00:00,4.4,4.4,4.37,4.37
2020-05-01 16:40:00+00:00,4.49,4.49,4.4,4.4
2020-05-01 16:50:00+00:00,4.445,4.49,4.42,4.49
2020-05-01 17:00:00+00:00,4.455,4.47,4.455,4.46
2020-05-01 17:10:00+00:00,4.45,4.46,4.445,4.46
2020-05-01 17:20:00+00:00,4.4,4.45,4.39,4.45
2020-05-01 17:30:00+00:00,4.425,4.425,4.4,4.4
2020-05-01 17:40:00+00:00,4.405,4.425,4.405,4.425
2020-05-01 17:50:00+00:00,4.405,4.41,4.405,4.405
2020-05-01 18:00:00+00:00,4.35,4.405,4.345,4.405
2020-05-01 18:10:00+00:00,4.375,4.39,4.35,4.35
2020-05-01 18:20:00+00:00,4.39,4.4,4.375,4.375
2020-05-01 18:30:00+00:00,4.395,4.405,4.385,4.39
