,SPY,SPY,SPY,SPY,SPY,SPY,AMC,AMC,AMC,AMC,AMC,AMC,AMCX,AMCX,AMCX,AMCX,AMCX,AMCX
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Datetime,,,,,,,,,,,,,,,,,,
2020-04-16 09:30:00-04:00,279.1499938964844,279.7392883300781,278.75,278.80999755859375,278.80999755859375,5732848,2.3499999046325684,2.490000009536743,2.309999942779541,2.4000000953674316,2.4000000953674316,433064,23.170000076293945,23.170000076293945,23.020000457763672,23.020000457763672,23.020000457763672,6210.0
2020-04-16 09:35:00-04:00,278.8299865722656,278.94000244140625,277.92999267578125,278.239990234375,278.239990234375,1797740,2.4196999073028564,2.4200000762939453,2.319999933242798,2.3598999977111816,2.3598999977111816,89925,23.170000076293945,23.170000076293945,23.0,23.1299991607666,23.1299991607666,2577.0
2020-04-16 09:40:00-04:00,278.239990234375,278.8999938964844,278.1304931640625,278.55999755859375,278.55999755859375,1213330,2.3494999408721924,2.390000104904175,2.3301000595092773,2.380000114440918,2.380000114440918,49115,23.2450008392334,23.2450008392334,23.149999618530273,23.149999618530273,23.149999618530273,2199.0
2020-04-16 09:45:00-04:00,278.55999755859375,278.95001220703125,277.7650146484375,277.92999267578125,277.92999267578125,1251361,2.3701999187469482,2.390000104904175,2.3499999046325684,2.360100030899048,2.360100030899048,206495,23.040000915527344,23.040000915527344,22.950000762939453,22.950000762939453,22.950000762939453,606.0
2020-04-16 09:50:00-04:00,277.92999267578125,278.0950012207031,277.3800048828125,277.739990234375,277.739990234375,1616670,2.369999885559082,2.380000114440918,2.299999952316284,2.3220999240875244,2.3220999240875244,102160,23.0,23.0,22.8799991607666,22.8799991607666,22.8799991607666,2068.0
2020-04-16 09:55:00-04:00,277.7300109863281,277.94989013671875,276.69000244140625,276.80999755859375,276.80999755859375,1687056,2.329900026321411,2.3299999237060547,2.1500000953674316,2.23009991645813,2.23009991645813,439274,22.84000015258789,22.84000015258789,22.770000457763672,22.770000457763672,22.770000457763672,3596.0
2020-04-16 10:00:00-04:00,276.80999755859375,277.1600036621094,276.1600036621094,276.20001220703125,276.20001220703125,1614675,2.240000009536743,2.2899999618530273,2.180000066757202,2.2100000381469727,2.2100000381469727,182711,22.709999084472656,22.770000457763672,22.690000534057617,22.75,22.75,1528.0
2020-04-16 10:05:00-04:00,276.20001220703125,276.8900146484375,276.1600036621094,276.2850036621094,276.2850036621094,1443914,2.210200071334839,2.296099901199341,2.190000057220459,2.2548000812530518,2.2548000812530518,157668,22.81999969482422,22.81999969482422,22.639999389648438,22.639999389648438,22.639999389648438,3434.0
