DATE	OPEN	CLOSING PRICE	DAILY HIGH	DAILY LOW	VOLUME (PCS.)
5/15/2020	0.62	0.66	0.72	0.62	9,257
5/14/2020	0.72	0.72	0.72	0.62	8,351
5/13/2020	0.65	0.72	0.72	0.62	17,897
5/12/2020	0.70	0.62	0.75	0.62	21,277
5/11/2020	0.73	0.65	0.74	0.65	9,856
5/8/2020	0.80	0.70	0.80	0.65	25,037
5/7/2020	0.60	0.66	0.78	0.60	22,223
5/6/2020	0.65	0.78	0.80	0.60	23,759
5/5/2020	0.60	0.63	0.79	0.60	15,198
5/4/2020	0.90	0.79	0.90	0.65	25,901
5/1/2020	0.60	0.68	0.85	0.60	10,996
4/30/2020	0.66	0.65	0.80	0.65	14,433
4/29/2020	0.72	0.80	0.90	0.65	19,923
4/28/2020	0.60	0.80	0.85	0.60	19,342
4/27/2020	0.60	0.75	1.00	0.60	45,811
4/24/2020	1.00	0.72	1.00	0.70	26,543
4/23/2020	0.60	0.72	0.90	0.60	68,839
4/22/2020	1.00	0.70	1.00	0.51	35,546
4/21/2020	0.50	0.60	0.95	0.50	30,877
4/20/2020	1.02	0.80	1.02	0.56	47,761
4/17/2020	1.02	1.00	1.30	0.75	107,320
4/16/2020	1.25	1.30	2.25	1.18	210,619
4/15/2020	1.90	1.80	2.00	1.01	158,967
4/14/2020	0.30	2.25	3.90	0.01	209,138
3/25/2020	8.75	10.40	10.95	8.50	242,852
3/24/2020	9.95	8.40	9.95	7.51	298,675
3/23/2020	19.10	9.95	24.20	8.01	651,199
3/20/2020	13.75	20.90	60.00	13.00	741,887
3/19/2020	9.58	14.50	23.00	5.00	313,099
3/18/2020	12.20	9.55	12.20	8.85	238,905
3/17/2020	8.15	11.80	15.00	7.51	373,279
3/16/2020	7.10	8.10	9.87	4.80	397,144
3/13/2020	4.55	6.50	7.00	4.55	231,889
3/12/2020	5.00	5.00	5.50	4.00	141,287
3/11/2020	5.56	5.25	6.00	4.51	98,603
3/10/2020	8.00	5.50	8.00	4.30	267,040
3/9/2020	6.26	7.51	8.00	6.25	216,314
3/6/2020	5.38	6.25	6.50	4.99	210,722
3/5/2020	4.73	5.70	5.85	4.11	260,017
3/4/2020	4.99	4.75	5.48	3.51	126,652
3/3/2020	3.18	4.99	5.89	3.00	243,847
3/2/2020	6.00	3.18	6.90	3.00	419,060
2/28/2020	5.53	6.75	9.00	5.53	510,701
2/27/2020	4.21	5.50	6.60	4.21	355,717
2/26/2020	3.53	4.21	4.50	3.48	193,251
2/25/2020	2.81	3.53	3.75	2.75	100,795
2/24/2020	2.81	2.75	3.55	2.75	99,910
2/21/2020	3.03	2.80	3.78	2.50	33,980
2/20/2020	3.10	3.01	3.90	3.00	64,497
2/19/2020	2.73	3.05	3.25	2.70	51,348
2/18/2020	2.75	2.70	2.75	2.40	21,832
2/14/2020	2.37	2.40	3.00	2.01	42,160
2/13/2020	2.03	2.30	2.32	2.03	24,911
2/12/2020	2.03	2.03	2.30	2.01	5,937
2/11/2020	2.00	2.01	2.20	2.00	9,675
2/10/2020	2.55	2.20	2.55	1.95	21,946
2/7/2020	2.44	2.20	2.44	2.06	15,276
2/6/2020	2.35	2.43	2.47	2.30	6,578
2/5/2020	2.41	2.65	2.65	2.40	21,602
2/4/2020	2.50	2.69	2.90	2.18	94,806
2/3/2020	2.10	2.47	2.50	2.10	36,335
1/31/2020	2.09	2.18	2.24	2.09	6,257
1/30/2020	2.10	2.24	2.30	1.85	19,608
1/29/2020	1.96	1.98	2.20	1.96	10,605
1/28/2020	2.20	1.95	2.20	1.76	9,277
1/27/2020	2.09	2.15	2.15	1.88	16,911
1/24/2020	1.99	1.86	1.99	1.85	3,761
1/23/2020	1.87	1.90	1.90	1.56	23,560
1/22/2020	2.20	1.87	2.20	1.80	9,633
1/21/2020	1.75	2.05	3.00	1.62	25,862
1/17/2020	1.99	1.76	1.99	1.75	13,782
1/16/2020	1.97	1.56	2.00	1.55	20,761
1/15/2020	1.97	1.86	2.50	1.51	24,691
1/14/2020	2.70	1.97	2.76	1.40	58,394
1/13/2020	1.62	2.70	2.90	1.62	93,021
1/10/2020	1.79	1.62	1.88	1.20	28,698
1/9/2020	1.39	1.88	1.88	1.37	18,123
1/8/2020	1.25	1.30	1.40	1.25	12,408
1/7/2020	1.11	1.40	1.48	1.10	23,750
1/6/2020	1.12	1.11	1.12	1.10	6,490
1/3/2020	1.10	1.10	1.11	1.10	5,282
1/2/2020	1.20	1.10	1.20	1.01	9,066
